Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
225275,2019-04-23 21:49:35,30150717898388,fraud_Lynch-Wisozk,home,7.51,Raymond,Lloyd,M,5930 Rebecca Bridge Apt. 444,Paint Rock,AL,35764,34.7031,-86.3068,653,Paediatric nurse,1966-06-19,5d00950aceebed10b134daaa02b7bfb1,1335217775,34.203783,-85.647312,0
1084873,2020-03-26 21:44:24,3533742182628021,"fraud_Berge, Kautzer and Harris",personal_care,78.42,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,1997-06-04,2944653d823b3774da73824b806b635a,1364334264,32.890203,-79.77104200000001,0
716197,2019-11-02 11:22:37,4220495028289516646,"fraud_Kuhic, Bins and Pfeffer",shopping_net,39.3,Bethany,Andrade,F,7898 Wanda Springs,Corona,CA,92882,33.8419,-117.6043,233717,Wellsite geologist,1966-05-22,2df223817ee7d78102d0b8c961ea2a98,1351855357,33.638856,-117.667686,0
670354,2019-10-13 01:38:29,4158945090781624,fraud_Kling Inc,gas_transport,98.05,Justin,Bell,M,5323 Walker Island,Pittsburgh,PA,15217,40.4308,-79.9205,687276,"Scientist, marine",1973-10-19,31120c0adf895b7cdc894c3cae34359d,1350092309,40.312156,-80.24169599999999,0
662678,2019-10-09 11:55:21,4681601008538160,fraud_Spinka Inc,grocery_net,69.34,Tammy,Davis,F,77663 Colleen Freeway,Moundsville,WV,26041,39.9148,-80.73100000000001,16183,Physiotherapist,1977-08-12,958eb38896b26697b9218e1faddaf23e,1349783721,40.752985,-81.081051,0
192567,2019-04-09 04:09:00,30561214688470,"fraud_Lind, Huel and McClure",gas_transport,63.89,Gina,Morrison,F,41851 Victor Drives Suite 219,Allentown,PA,18103,40.5891,-75.4645,166081,"Scientist, research (maths)",1998-10-01,ad5bd0c9631ecc192736a8d9dfbb5f9a,1333944540,41.562515000000005,-74.47672299999999,0
1276806,2020-06-14 12:47:06,4769426683924058915,"fraud_Schroeder, Hauck and Treutel",entertainment,10.29,Andrea,Cruz,F,26572 Hodge Villages Suite 512,Mifflin,PA,17058,40.5553,-77.4001,1909,Mining engineer,1954-08-22,2d0574f44173b55b9ec006ebbe360a03,1371214026,39.989655,-77.091587,0
880298,2019-12-22 09:47:53,503874407318,"fraud_Schaefer, Maggio and Daugherty",gas_transport,61.25,Andrew,Mcgee,M,4130 Tiffany Glen Apt. 562,San Antonio,TX,78248,29.5894,-98.5201,1595797,Exhibition designer,1975-12-28,0c1ffd47a307de0452b4de75faaaa281,1356169673,29.840966,-97.685331,0
307327,2019-05-29 02:00:17,3533800906065217,"fraud_Connelly, Reichert and Fritsch",gas_transport,63.1,Amber,Thornton,F,840 Werner Lock Apt. 852,Campbell,NE,68932,40.2967,-98.737,493,"Surveyor, minerals",1940-09-13,222b23b85c0a0e3962c98ca94793c39f,1338256817,41.053422,-97.978186,0
472337,2019-07-27 08:34:04,180094419304907,fraud_Bogisich-Homenick,misc_net,7.04,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,229a82f4f10b0f95a2128ec24ed26c8d,1343378044,34.404681,-117.82363,0
